event_id,ticker,recipient_name,award_id,contract_number,award_date,announcement_time,announcement_source_type,announcement_source_url,announcement_title,announcement_text_excerpt,source_confidence,link_confidence,link_notes
government_contract_RTX_N0001924C0032,RTX,RAYTHEON COMPANY,N0001924C0032,N0001924C0032,2024-09-27,2025-06-02T17:00:07-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4203613/contracts-for-jun-2-2025/,"Contracts For Jun. 2, 2025","Official DoD daily contract announcement excerpt: d evaluation funds in the amount of $562,100 are being obligated at time of award. The Air Force Research Laboratory, Computing Communications and Information Systems Contracting Branch, Rome, New York, is the contracting activity. CORRECTION: The $419,419,148 KTH Services JV, LLC, Colorado Springs, Colorado, contract that was announced on May 30, 2025, was actually awarded on June 2, 2025. NAVY Raytheon Co., Tucson, Arizona, is awarded a $1,100,806,209 modification (P00004) to a previously awarded fixed-price incentive (firm-target) contract (N0001924C0032). This modification exercises options for the production and delivery of AIM-9X pro... Linked to USAspending event government_contract_RTX_N0001924C0032 and undashed contract N0001924C0032; candidate recipient RAYTHEON COMPANY, ticker RTX, current obligation snapshot $2.0B, program LOT 24-26 PRODUCTION - FMS.",0.88,0.84,Matched exact DoD contract identifier N0001924C0032 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/06/dod-contracts_4203613.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_RTX_W31P4Q24C0024,RTX,RAYTHEON COMPANY,W31P4Q24C0024,W31P4Q24C0024,2024-07-31,2026-04-16T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4459877/contracts-for-april-16-2026/,"Contracts for April 16, 2026","Official DoD daily contract announcement excerpt: cution of the basic contract award. The total period of performance for the RHRP-4 award consists of not to exceed 9-month transition plus a 3-6-month base period (depending on the length of the transition-in period), and nine 12-month option years, for a total of ten years if all options are exercised. The Defense Health Agency, Professional Services Contracting Division, Falls Church, Virginia, is the contracting activity. ARMY Raytheon Missiles and Defense, Andover, Massachusetts, was awarded a $904,600,000 modification (P00015) to contract W31P4Q-24-C-0024 to support the low-rate initial production of five Lower Tier Air and Missile De... Linked to USAspending event government_contract_RTX_W31P4Q24C0024 and undashed contract W31P4Q24C0024; candidate recipient RAYTHEON COMPANY, ticker RTX, current obligation snapshot $1.9B, program UNDEFINITIED CONTRACT (UCA) FOR LOWER TIER AIR AND MISSILE DEFENSE SYSTEM (LTAMDS).",0.88,0.84,Matched exact DoD contract identifier W31P4Q-24-C-0024 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/04/dod-contracts_4459877.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_NOC_N0001925C0130,NOC,NORTHROP GRUMMAN SYSTEMS CORPORATION,N0001925C0130,N0001925C0130,2024-12-18,2026-03-02T17:00:39-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4419143/contracts-for-march-2-2026/,"Contracts for March 2, 2026","Official DoD daily contract announcement excerpt: Contracts for March 2, 2026 Please enable JavaScript and refresh the page Home :: Military :: Library :: News :: 2026 :: March :: Military Menu Introduction Systems Facilities Agencies Industry Operations Countries Hot Documents News Reports Policy Budget Congress Links WMD Intelligence Homeland Security Space Military Contracts Contracts for March 2, 2026 NAVY Northrop Grumman Systems Corp., Melbourne, Florida, is awarded a $225,109,424 modification (P00011) to a cost-plus-incentive-fee contract (N0001925C0130). This modification exercises options for the design, development, and delivery of all E-130J training weapons systems training ma... Linked to USAspending event government_contract_NOC_N0001925C0130 and undashed contract N0001925C0130; candidate recipient NORTHROP GRUMMAN SYSTEMS CORPORATION, ticker NOC, current obligation snapshot $827.9M, program E130J ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD).",0.88,0.84,Matched exact DoD contract identifier N0001925C0130 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/03/dod-contracts_4419143.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LMT_N0003023C0100,LMT,LOCKHEED MARTIN CORPORATION,N0003023C0100,N0003023C0100,2023-09-05,2024-09-12T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3843433/contracts-for-sep-12-2024/,"Contracts For Sep. 12, 2024","Official DoD daily contract announcement excerpt: ded by O&M, MC. This contract was competitively procured via the sam.gov website with 13 proposals received. These six contractors may compete for task orders under the terms and conditions of the awarded contract. The Naval Facilities Engineering Systems Command, Mid-Atlantic, Norfolk, Virginia, is the contracting activity. Lockheed Martin Space of Titusville, Florida, is awarded a $67,439,798 hybrid fixed-price-incentive, cost-plus-fixed-fee, and cost-plus-fixed-incentive-fee modification P00012, to previously awarded and announced contract (N0003023C0100) for Trident II (D5) missile production and deployed systems support. Work will be... Linked to USAspending event government_contract_LMT_N0003023C0100 and undashed contract N0003023C0100; candidate recipient LOCKHEED MARTIN CORPORATION, ticker LMT, current obligation snapshot $1.3B, program FY24 TRIDENT PRODUCTION AND DEPLOYED SYSTEMS SUPPORT.",0.88,0.84,Matched exact DoD contract identifier N0003023C0100 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/09/dod-contracts_3843433.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_KTOS_FA240125C0004,KTOS,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",FA240125C0004,FA240125C0004,2024-11-12,2024-11-13T17:02:00-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3964063/contracts-for-nov-13-2024/,"Contracts For Nov. 13, 2024","Official DoD daily contract announcement excerpt: t Agency. Work will be performed at Colorado Springs, Colorado; Herndon, and Chantilly, Virginia; and Huntsville, Alabama, and is expected to be completed by December 2029. This contract was a competitive acquisition, and seven offers were received. Fiscal 2024 research, development, test and evaluation funds in the amount of $6,300,000; and fiscal 2025 research, development, test and evaluation funds in the amount of $10,300,000, are being obligated at time of award. The Space Development Agency, Washington, D.C., is the contracting activity (FA2401-25-C-0004). (Awarded Nov. 8, 2024) NAVY Cognito Systems LLC, Newport News, Virginia, was a... Linked to USAspending event government_contract_KTOS_FA240125C0004 and undashed contract FA240125C0004; candidate recipient KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC., ticker KTOS, current obligation snapshot $49.7M, program ADVANCED FIRE CONTROL GROUND INFRASTRUCTURE (AFCGI).",0.88,0.84,Matched exact DoD contract identifier FA2401-25-C-0004 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/11/dod-contracts_3964063.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LMT_FA821924C0001,LMT,LOCKHEED MARTIN CORP,FA821924C0001,FA821924C0001,2023-10-27,2025-11-13T16:59:39-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4330947/contracts-for-nov-13-2025/,"Contracts For Nov. 13, 2025","Official DoD daily contract announcement excerpt: Contracts For Nov. 13, 2025 Please enable JavaScript and refresh the page Home :: Military :: Library :: News :: 2025 :: November :: Military Menu Introduction Systems Facilities Agencies Industry Operations Countries Hot Documents News Reports Policy Budget Congress Links WMD Intelligence Homeland Security Space Military Contracts Contracts For Nov. 13, 2025 AIR FORCE Lockheed Martin Corp., King of Prussia, Pennsylvania, has been awarded $453,960,636 modification (P00032) to previously awarded FA8219-24-C-0001 for the Mk21A Reentry Vehicle. The modification brings the total cumulative face value of the contract to $1,482,875,038 from $1,0... Linked to USAspending event government_contract_LMT_FA821924C0001 and undashed contract FA821924C0001; candidate recipient LOCKHEED MARTIN CORP, ticker LMT, current obligation snapshot $1.2B, program MK21A RE-ENTRY VEHICLE -ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) EARLY PRODUCTION AND DEPLOYMENT (P&D).",0.88,0.84,Matched exact DoD contract identifier FA8219-24-C-0001 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4330947.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_MRCY_N6833522F0005,MRCY,PHYSICAL OPTICS CORPORATION,N6833522F0005,N6833522F0005,2022-06-29,2024-09-17T17:00:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3909038/contracts-for-sep-17-2024/,"Contracts For Sep. 17, 2024","Official DoD daily contract announcement excerpt: g capital funds (Navy) of $5,714,765 and FMS funds of $714,346 will be obligated at the time of award, and funds will not expire at the end of the current fiscal year. One company was solicited for this sole-source requirement pursuant to the authority set forth in 10 U.S. Code 3204 (a)(1), with one offer received. Naval Supply Systems Command Weapon Systems Support, Philadelphia, Pennsylvania, is the contracting activity. Mercury Mission Systems LLC, Torrance, California, is awarded an $8,830,276 modification (P00001) to an existing contract (N6833522F0005) against a previously issued basic ordering agreement (N6833519G0041). This modific... Linked to USAspending event government_contract_MRCY_N6833522F0005 and undashed contract N6833522F0005; candidate recipient PHYSICAL OPTICS CORPORATION, ticker MRCY, current obligation snapshot $34.8M, program NON-RECURRING ENGINEERING (NRE) DVMC-U.",0.88,0.84,Matched exact DoD contract identifier N6833522F0005 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/09/dod-contracts_3909038.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LDOS_N0002422C5231,LDOS,"LEIDOS, INC.",N0002422C5231,N0002422C5231,2022-05-30,2025-06-26T17:00:19-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4227676/contracts-for-jun-26-2025/,"Contracts For Jun. 26, 2025","Official DoD daily contract announcement excerpt: on individual task orders as they are issued. This requirement was competitively procured as a total small business set-aside via a request for proposal (N66001-24-R-0048) published on the beta.SAM.gov website and the Naval Information Warfare Systems Command e-Commerce central website. 15 offers were received. Naval Information Warfare Center Pacific, San Diego, California, is the contracting activity. Leidos Inc., Reston, Virginia, is being awarded a $22,909,025 cost-plus-fixed-fee and cost-only modification to a previously awarded contract (N00024-22-C-5231) to exercise options for installation of the Navy's AN/SQQ-89 surface ship under... Linked to USAspending event government_contract_LDOS_N0002422C5231 and undashed contract N0002422C5231; candidate recipient LEIDOS, INC., ticker LDOS, current obligation snapshot $158.0M, program UNDERSEA WARFARE COMBAT SYSTEMS PRODUCT SUPPORT.",0.88,0.84,Matched exact DoD contract identifier N00024-22-C-5231 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/06/dod-contracts_4227676.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_CACI_N0042122C0025,CACI,"CACI, INC. - FEDERAL",N0042122C0025,N0042122C0025,2022-06-29,2024-07-03T17:00:24-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3827133/contracts-for-jul-3-2024/,"Contracts For Jul. 3, 2024","Official DoD daily contract announcement excerpt: 8%); Pascagoula, Mississippi (2%); and Bath, Maine (2%), and is expected to be completed in January 2030. No funds will be obligated at the time of award; funds will be obligated on individual orders as they are issued. This contract was competitively procured via an electronic request for proposal; three offers were received. NAWCAD, Patuxent River, Maryland, is the contracting activity (N0042124D0016). CACI Federal, Chantilly, Virginia, is awarded a $41,969,322 cost-plus-fixed-fee, cost modification (P00028) to a previously awarded contract (N0042122C0025). This modification exercises options to provide continued engineering, technical,... Linked to USAspending event government_contract_CACI_N0042122C0025 and undashed contract N0042122C0025; candidate recipient CACI, INC. - FEDERAL, ticker CACI, current obligation snapshot $73.4M, program NEW CONTRACT TO SUPPORT MOBILE MISSIONS SYSTEMS..",0.88,0.84,Matched exact DoD contract identifier N0042122C0025 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/07/dod-contracts_3827133.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_RTX_FA865622FA071,RTX,RAYTHEON COMPANY,FA865622FA071,FA865622FA071,2022-09-22,2024-07-01T17:01:00-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/3824019/contracts-for-jul-1-2024/,"Contracts For Jul. 1, 2024","Official DoD daily contract announcement excerpt: The work is expected to be completed by June 30, 2028. Fiscal 2024 operations and maintenance funds in the amount of $28,666,404 are being obligated of at the time of award. The 316th Contracting Squadron Services Flight, Joint Base Andrews, Maryland, is the contracting activity. (Awarded June 28, 2024) Raytheon Missiles and Defense, Tucson, Arizona, has been awarded a $20,379,092 cost-plus-fixed-fee modification (P00024) to the previously awarded Hypersonic Attack Cruise Missile-Southern Cross Integrated Flight Research Experiment task order (FA8656-22-F-A071). This task order modification provides for the procurement of additional hardwa... Linked to USAspending event government_contract_RTX_FA865622FA071 and undashed contract FA865622FA071; candidate recipient RAYTHEON COMPANY, ticker RTX, current obligation snapshot $1.3B, program HACM - SCIFIRE.",0.88,0.84,Matched exact DoD contract identifier FA8656-22-F-A071 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2024/07/dod-contracts_3824019.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LMT_FA868223CB001,LMT,LOCKHEED MARTIN CORPORATION,FA868223CB001,FA868223CB001,2023-05-18,2025-06-26T17:00:19-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4227676/contracts-for-jun-26-2025/,"Contracts For Jun. 26, 2025","Official DoD daily contract announcement excerpt: will be performed at various locations across the EURAFCENT area of responsibility. Work is expected to be completed in August 2040. No funds were obligated at time of award. Private financing will be obtained by the contractor. The Naval Facilities Engineering and Expeditionary Warfare Center, Port Hueneme, California, is the contracting activity. AIR FORCE Lockheed Martin Missiles and Fire Control, Orlando, Florida, was awarded a $45,900,000 firm-fixed-price undefinitized contract action modification (P00017) to previously awarded contract (FA8682-23-C-B001) for the Long-Range Anti-Ship Missile (LRASM) Lots Seven and Eight for the conver... Linked to USAspending event government_contract_LMT_FA868223CB001 and undashed contract FA868223CB001; candidate recipient LOCKHEED MARTIN CORPORATION, ticker LMT, current obligation snapshot $1.2B, program LONG RANGE ANTI-SHIP MISSILE (LRASM) LOT 7/8.",0.88,0.84,Matched exact DoD contract identifier FA8682-23-C-B001 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/06/dod-contracts_4227676.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002424C2312,HII,HUNTINGTON INGALLS INCORPORATED,N0002424C2312,N0002424C2312,2024-11-17,2025-12-05T17:00:25-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4351194/contracts-for-dec-5-2025/,"Contracts For Dec. 5, 2025","Official DoD daily contract announcement excerpt: ed to be completed by Mar. 29, 2026. Fiscal 2026 operation and maintenance (Navy) funds in the amount of $39,738,219 are obligated and will expire at the end of the fiscal year. This contract was competitively procured with proposals solicited via the Governmentwide Point of Entry website and one offer was received. Military Sealift Command, Norfolk, Virginia, is the contracting activity (N3220526C1201). Huntington Ingalls Inc., Pascagoula, Mississippi, is awarded a $36,387,610 cost-plus-award-fee modification to a previously awarded contract (N00024-24-C-2312) to exercise options for Arleigh Burke-class guided missile destroyer follow yar... Linked to USAspending event government_contract_HII_N0002424C2312 and undashed contract N0002424C2312; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $79.2M, program DDG 51 CLASS FOLLOW YARD SUPPORT.",0.88,0.84,Matched exact DoD contract identifier N00024-24-C-2312 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/12/dod-contracts_4351194.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LHX_N0003022C2001,LHX,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,N0003022C2001,N0003022C2001,2021-10-01,2026-05-01T17:00:14-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4475846/contracts-for-may-1-2026/,"Contracts for May 1, 2026","Official DoD daily contract announcement excerpt: other funding will be made available at the delivery order level as contracting actions occur. This contract was competitively procured via the Procurement Integrated Enterprise Environment with 15 offers received. Naval Sea Systems Command, Washington, D.C., is the contracting activity. L3 Harris Technologies Inc., Interstate Electronics Corp., Anaheim, California, is being awarded a $77,246,424 cost-plus-fixed-fee and cost-plus-incentive-fee modification (P00046) for new procurement options under a previously awarded and announced contract (N0003022C2001) to provide services and support for Flight Test Instrumentation systems for the Tri... Linked to USAspending event government_contract_LHX_N0003022C2001 and undashed contract N0003022C2001; candidate recipient L3HARRIS INTERSTATE ELECTRONICS CORPORATION, ticker LHX, current obligation snapshot $430.0M, program FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES.",0.88,0.84,Matched exact DoD contract identifier N0003022C2001 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/05/dod-contracts_4475846.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_RTX_FA865925CB003,RTX,RAYTHEON COMPANY,FA865925CB003,FA865925CB003,2025-07-31,2025-07-31T17:00:15-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4261297/contracts-for-jul-31-2025/,"Contracts For Jul. 31, 2025","Official DoD daily contract announcement excerpt: missile procurement funds in the amount of $116,000,000; fiscal 2025 Air Force missile procurement funds in the amount of $472,000,000; fiscal 2025 Air Force research, development, test and evaluation funds in the amount of $507,000; fiscal 2024 Air Force operation and maintenance funds in the amount of $253,936; and FMS funds in the amount of $621,000,000, are being obligated at the time of award. The Air Force Life Cycle Management Center, Air Dominance Division Contracting Office, Eglin Air Force Base, Florida, is the contracting activity. (FA8659-25-C-B003) The University of Dayton Research Institute, Dayton, Ohio, was awarded a $98,50... Linked to USAspending event government_contract_RTX_FA865925CB003 and undashed contract FA865925CB003; candidate recipient RAYTHEON COMPANY, ticker RTX, current obligation snapshot $2.2B, program ADVANCED MEDIUM RANGE AIR-TO-AIR MISSILE (AMRAAM)LOTS 39-40.",0.88,0.84,Matched exact DoD contract identifier FA8659-25-C-B003 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/07/dod-contracts_4261297.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002422C2319,HII,HUNTINGTON INGALLS INCORPORATED,N0002422C2319,N0002422C2319,2022-07-22,2025-07-17T17:00:51-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4248652/contracts-for-jul-17-2025/,"Contracts For Jul. 17, 2025","Official DoD daily contract announcement excerpt: stralia) funds in the amount of $406,207 (21%); fiscal 2025 aircraft procurement (Navy) funds in the amount of $200,000 (10%); and reimbursable funds in the amount of $700,152 (37%), will be obligated at time of award, of which $605,000 will expire at the end of the current fiscal year. Naval Surface Warfare Center, Crane, Indiana, is the contracting activity (N0016421GWS42; N0016425FW016). Bath Iron Works (BIW), Bath, Maine (N00024-22-C-2318); and Huntington Ingalls Industries Inc., Ingalls Shipbuilding (HII Ingalls), Pascagoula, Mississippi (N00024-22-C-2319), are each being awarded a cost-plus-award-fee modification to previously-awarde... Linked to USAspending event government_contract_HII_N0002422C2319 and undashed contract N0002422C2319; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $73.1M, program DDG(X) SHIPBUILDER DESIGN ENGINEERING.",0.88,0.84,Matched exact DoD contract identifier N00024-22-C-2319 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/07/dod-contracts_4248652.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_BAH_FA875025FB015,BAH,BOOZ ALLEN HAMILTON INC,FA875025FB015,FA875025FB015,2025-05-14,2025-05-14T17:00:32-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4186522/contracts-for-may-14-2025/,"Contracts For May. 14, 2025","Official DoD daily contract announcement excerpt: will be performed at McLean, Virginia, and is expected to be completed by May 14, 2028. This task order was a competitive acquisition and 3 offers were received. Fiscal 2025 research, development, test and evaluation funds in the amount of $19,531,776; fiscal 2025 operation and maintenance appropriations funds in the amount of $13,654,602; and fiscal 2025 aircraft and other appropriations funds in the amount of $2,209,710, are being obligated at time of award. The Air Force Research Laboratory/RIKE, Rome, New York, is the contracting activity (FA8750-25-F-B015). ARMY Solvus Global LLC,* Worcester, Massachusetts, was awarded a $90,000,000 f... Linked to USAspending event government_contract_BAH_FA875025FB015 and undashed contract FA875025FB015; candidate recipient BOOZ ALLEN HAMILTON INC, ticker BAH, current obligation snapshot $144.0M, program NIMBUS WILL FACILITATE INTELLIGENCE, SURVEILLANCE, AND RECONNAISSANCE, ASSURANCE AND FIELDING MISSIONS WHILE ARCHITEC....",0.88,0.84,Matched exact DoD contract identifier FA8750-25-F-B015 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/05/dod-contracts_4186522.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_HII_N0002425C4229,HII,HUNTINGTON INGALLS INCORPORATED,N0002425C4229,N0002425C4229,2025-04-30,2026-04-03T17:00:05-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4451701/contracts-for-april-3-2026/,"Contracts for April 3, 2026","Official DoD daily contract announcement excerpt: 6 Please enable JavaScript and refresh the page Home :: Military :: Library :: News :: 2026 :: April :: Military Menu Introduction Systems Facilities Agencies Industry Operations Countries Hot Documents News Reports Policy Budget Congress Links WMD Intelligence Homeland Security Space Military Contracts Contracts for April 3, 2026 NAVY Huntington-Ingalls Industries Inc., Ingalls Shipbuilding Division, Pascagoula, Mississippi, is being awarded a $83,623,165 hybrid cost-plus award fee, and cost only modification to a previously awarded contract (N00024-25-C-4229), a continuation contract for (N00024-21-C-4205) to exercise options for the acc... Linked to USAspending event government_contract_HII_N0002425C4229 and undashed contract N0002425C4229; candidate recipient HUNTINGTON INGALLS INCORPORATED, ticker HII, current obligation snapshot $82.1M, program THIS MODIFICATION IS ISSUED FOR ADMINISTRATIVE PURPOSES TO FACILITATE CONTINUED CONTRACT PERFORMANCE DUE TO LIMITED A....",0.88,0.84,Matched exact DoD contract identifier N00024-25-C-4229 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/04/dod-contracts_4451701.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_LMT_N0002423C5123,LMT,LOCKHEED MARTIN CORPORATION,N0002423C5123,N0002423C5123,2023-01-01,2026-03-19T17:00:09-04:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4438916/contracts-for-march-19-2026/,"Contracts for March 19, 2026","Official DoD daily contract announcement excerpt: 2024 military construction (Navy) funds in the amount of $34,946,592 will be obligated at the time of award and will expire in September 2028. This contract was competitively procured via the SAM.gov contract opportunities website with two offers received. The Naval Facilities Engineering Systems Command, Southwest, San Diego, California, is the contracting activity (N62473-26-C-0013). Lockheed Martin Rotary and Mission Systems, Moorestown, New Jersey, is awarded a $16,921,471 cost-plus-fixed-fee modification to a previously awarded contract (N00024-23-C-5123) for software development, integration, test, and evaluation in support of curren... Linked to USAspending event government_contract_LMT_N0002423C5123 and undashed contract N0002423C5123; candidate recipient LOCKHEED MARTIN CORPORATION, ticker LMT, current obligation snapshot $1.1B, program AEGIS F&S CONTRACT AWARD.",0.88,0.84,Matched exact DoD contract identifier N00024-23-C-5123 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2026/03/dod-contracts_4438916.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
government_contract_BA_H9224122F0073,BA,THE BOEING COMPANY,H9224122F0073,H9224122F0073,2022-07-08,2025-11-20T17:02:18-05:00,dod_contract_announcement,https://www.war.gov/News/Contracts/Contract/Article/4339288/contracts-for-nov-20-2025/,"Contracts For Nov. 20, 2025","Official DoD daily contract announcement excerpt: Contracts For Nov. 20, 2025 Please enable JavaScript and refresh the page Home :: Military :: Library :: News :: 2025 :: November :: Military Menu Introduction Systems Facilities Agencies Industry Operations Countries Hot Documents News Reports Policy Budget Congress Links WMD Intelligence Homeland Security Space Military Contracts Contracts For Nov. 20, 2025 U.S. SPECIAL OPERATIONS COMMAND The Boeing Co., Ridley Park, Pennsylvania, was awarded a $877,742,891 firm-fixed-price delivery order (W9121516G0001 and H9224122F0073) for procurement of MH-47G rotary wing aircraft in support of U.S. Special Operations Command (USSOCOM). Most of the w... Linked to USAspending event government_contract_BA_H9224122F0073 and undashed contract H9224122F0073; candidate recipient THE BOEING COMPANY, ticker BA, current obligation snapshot $728.1M, program MH-47G BLKII LOT 6 LONG LEAD PRODUCTION.",0.88,0.84,Matched exact DoD contract identifier H9224122F0073 on the official War.gov daily contract announcement RSS item. GlobalSecurity mirror https://www.globalsecurity.org/military/library/news/2025/11/dod-contracts_4339288.htm was used only to machine-read the official announcement text because War.gov article HTML blocks scripted fetches; event source URL remains the official War.gov page. Review cumulative obligation versus original announcement amount before modeling.
